Emenim	Remember Me?
Eminem	Marshall Mathers LP
Wu-Tang Clan/capadonna	Triumph
Ghostface Killah	Iron Maiden
Ghostface Killa	Iron Man (GhostFace Killa, Raekwon, and Cappadona)
Mac Miller	She Said
Mac Miller	Keep Floatin''
Mac Miller	GO:OD AM
Action Bronson/Chance the Rapper	Baby Blue
Denaun/Royce da 5''9	Cooking
50 Cent	Fuck You
Notorious B.I.G.	Spit your game
M.O.P./Busta Rhymes	Blow the Horns
Kanye West	Good Life
Notorious B.I.G	Notorious Thugs
Dr. Dre	Still D.R.E.
Snoop Dogg	Ain''t No Fun (if the homies can''t have none)
Jay-Z	Heart of the City (Ain''t no Love)
Nas	Hero
Lil'' Wayne	Love Me
Dr. Dre	Forgot about Dre
The Roots	Adrenaline
The Game	Wouldn''t get far
Dr. Dre	The Watcher
Inspectah Deck	Vendetta
Mob Deep	Hell on Earth
GZA & DJ Muggs	Unstoppable Threat
Method Man	I Get My Thang in Action
Common	The Questions
Method Man (feat. Busta Rhymes)	What''s Happening
GZA	Mic Tripping
Notorious B.I.G.	I Got a Story To Tell
Immortal Technique	Creation & Destruction
Bad Meets Evil	Living Proof
Method Man	Mr. Sandman
Red Man	Da Ill Out
D12	Rap Game
Notorious B.I.G.	The What
Redman	Da Goodness
RZA	Tragedy
Redman	Pick it up
Eminem	Must Be the Ganja
Method Man & Redman	Four Minutes to Lock Down
Ghostface Killah	Malcolm
Wu-Tang Clan	Bells of War
Eminem	Same Song & Dance
GZA	Breaker, Breaker
Ice Cube	You know how we do it
Erick Sermon	Here I Iz
Slaughterhouse	Y'all Ready Know
Eminem	Stay Wide Awake
Notorious B.I.G.	Unbelievable
Wu-Tang Clan	Impossible
Erick Sermon	Love Iz
Erick Sermon	Its Nuttin
Nas	The Setup
Wu-Tang Clan	Da Mystery of Chessboxin'
Ol' Dirty Bastard	Hippa To Da Hoppa
Raekwon	Knowledge God
Ghostface Killah	One
Naughty By Nature	-	Yoke The Joker
AZ	Rather Unique
AZ 	Gimme Yours
Nas	Suspect
DJ Muggs	Decisions, Decisions
DJ Muggs	Puppet Master
DJ Muggs	Illuminati 666
AZ	Mo Money Mo Murder
Inspectah Deck	Big City
Big Punisher	Beware
Big Pun, Fat Joe	Twinz (Deep Cover 98)
Fat Joe Ft. Nas & Big Pun & Jadakiss & Raekwon	John Blaze
GZA	Hip Hop Fury
2Pac	Check Out Time
The Firm	Phone Tap
Notorious B.I.G.	Suicidal Thoughts
Raekwon	Glaciers of Ice
Wu-Tang Clan	A Better Tomorrow
Big L	Platinum Plus
Inspectah Deck	City High
Raekwon	Criminology
Wu-Tang Clan	For Heaven's Sake
Big L	Deadly Combination
Big L	Fall Back
Ghostface Killah	Ghost Deini
Wu-Tang Clan	Can it Be All so Simple
GZA	Living in the World Today
Beatnuts, The	Off the Books (Big Pun)
Redman	Rock Da Spot
Bad Meets Evil	Take From Me
Big L	'95 Freestyle Pt. 1
Wu-Tange Clan	Protect Ya Neck (Bloody Version)
Ol' Dirty Bastard	Protect Ya Neck II
Notorious B.I.G.	Come on
Big L	Street Struck
RZA	Mantis
Eminem	Never Enough
Funkmaster Flex & Supreme Bigga Nigga Big Kap	If I Get Locked Up   (Has Eminem)
Method Man	Step by Step
Jay-Z	D'evils
Mac Miller	Wear My Hat
Medicine Man	Dr. Dre (Feat. Eminem, Candice Pillay, & Anderson .Paak)
Notorious B.I.G.	Long Kiss Goodnight
Redman	Da Bump
Redman	Can't Wait
Symphony 2000	EPMD
Pete Rock & C.L. Smooth	They Reminicse Over You
RZA & MF Doom	Biochemical Equation
Killa Beez	Woodchuck
Jeremih	Oui
Beatnuts, The	Off the Books
DMX	We Right Here
Mac Miller	All Around the World
Ghostface Killah	Mighty Heavy
Raekwon	Criminology
Capone-N-Noreaga	Illegal Life
Raekwon	Knuckleheadz
Wu-Tang Clan	Triumph
Notorious B.I.G.	My Downfall
Eminem	Bitch Please II
Nas Affirmative Action
Inspektah Deck	Framed
Jedi Mind Tricks	Uncommon Valor: A Vietnam Story
Gang Starr	The Militia
Scarface	Smile
Thug Life	Pour Out a Little Liquor
Ghostface Killah	Assassination Day
Redman	Tongight's Da Night
Prhyme	Mode II (Feat. Logic)
Mac Miller	Donald Trump
Biggie/Tupac Live Freestyle	Funkmaster Flex & Supreme Bigga Nigga Big Kap
Turn it Up (Remix) / Fire It Up	Busta Rhymes
Ol' Dirty Bastard	Snakes
Notorious B.I.G.	Party and Bullshit
Nas	Got Ur Self a Gun
Mobb Deep	Eye for an Eye
Wu-Tang Clan	Visionz
Big L	'95 Freestyle Pt. 1 (Jay-Z)
Wu-Tang Clan	Fast Shadow
The Game	Don't Trip (Feat. Ice Cube, Dr. Dre, and Will I. Am)
Ghostface Killah	We Dem Niggaz
Inspectah Dek	That Nigga
Capadonna	Slang Editorial
Eminem	Soldier
Busta Rhymes	Dangerous
Holocaust (Silkworm)	RZA
Big Pun	Fire Water
Immortal Technique	Cross the Border
Remix Feat. Dru Down, E-40 & Richie Rich	I Got 5 On it

Kool G Rap
Bad Meets Evil
Raewkon
Slaughterhouse
Big Pun
Notorious B.I.G.
DJ Muggs
Eminem
Royce Da 5'9
Mobb Deep
GZA
RZA
Ghostface Killah
