Animals	GetAnimalsData
AnimalsBirth	AnimalsBirthData 
AnimalsBreed	AnimalsBreedData
AnimalsBreeding	AnimalsBreedingData
AnimalsCarcass	AnimalsCarcassData
AnimalsComments	AnimalsCommentsData
AnimalsData	AnimalsDataData	
AnimalsEnrolled	AnimalsEnrolledData
AnimalsEstrous	AnimalsEstrousData
AnimalsHealth	AnimalsHealthData
AnimalsLegacy	AnimalsLegacyData
AnimalsMeasurements	AnimalsMeasurementsData
AnimalsPastureLocation	AnimalsPastureLocationData
AnimalsPedigree	AnimalsPedigreeData
AnimalsPenLocation	AnimalsPenLocationData
AnimalsSynchronization	AnimalsSynchronizationData
AnimalsUltrasound	AnimalsUltrasoundData
AnimalsWean	AnimalsWeanData
AnimalsYear	AnimalsYearData
AssociationCodesBreedCode	AssociationCodesBreedCodeData	
AssociationCodesCalvingEase	AssociationCodesCalvingEaseData
AssociationCodesColorScore	AssociationCodesColorScoreData
AssociationCodesManagement	AssociationCodesManagementData
AssociationCodesNavelScore	AssociationCodesNavelScoreData
AssociationCodesScurScore	AssociationCodesScurScoreData
AssociationCodesStatus	AssociationCodesStatusData
AssociationCodesTemperScore	AssociationCodesTemperScoreData	
AssociationCodesUdderScoreSuspension	AssociationCodesUdderScoreSuspensionData
AssociationCodesUdderScoreTeatScore	AssociationCodesUdderScoreTeatScoreData
CertificateAi
DnaParentage	DnaParentageData
DnaRequests	DnaRequestsData
DnaSnp	DnaSnpData
DnaTests	DnaTestsData
InventoryEmbryo	InventoryEmbryoData
InventoryHealth	InventoryHealthData
InventorySemen	InventorySemenData
Litter	LitterData
LocationPasture	LocationPastureData
LocationPen	LocationPenData
MemberBreedAssociations	MemberBreedAssociationsData
MemberContact	MemberContactData
Multisire	MultisireData
MultisireBulls	MultisireBullsData
Ownership	OwnershipData
Partnership	PartnershipData
PartnershipMembers	PartnershipMembersData
Tasks	TasksData
Transfer	TransferData
WorkOrder	WorkOrderData
WorkOrderItem	WorkOrderItemData
